A,B,C,D,E,F
19,126.5,36,494.14,-16.6337,-23.7554
18,121.36,36,494.35,30.4286,65.2541
32,191.43,26,344,-8.03447,-24.7275
26,161.16,27,359.03,80.5646,50.3423
17,116.22,27,359.08,72.6792,22.2202
30,181.04,17,209.23,-1.81597,-3.56402
6,61.51,19,239.31,24.5088,37.7402
15,106.34,10,104.5,71.4975,57.8974
20,131.15,3,-0.76,-39.0468,-87.7003
16,111.3,36,494.53,43.4583,6.88311
20,131.11,31,419.14,-62.1213,-25.0986
5,56.28,34,464.53,33.0896,31.9543
8,71.5,28,374.56,-30.8145,-14.369
15,106.23,38,524.16,-11.6572,-9.4398
10,81.5,7,59.15,-5.66543,-9.42884
3,46.26,30,404.51,-54.8688,-60.9378
34,201.52,15,179.37,-27.8466,-2.92679
31,186.49,26,344.36,27.742,65.3558
31,186.36,18,224.26,33.5181,92.0898
23,145.97,28,374.39,10.8327,14.3754
6,61.18,19,239.54,-29.0019,-13.5238
12,91.51,5,29.44,33.0896,31.9543
20,131.06,22,284.03,-46.2808,-55.1552
18,121.36,4,14.05,-35.8369,-93.358
35,206.12,34,464.41,14.7224,8.49999
14,101.41,26,344.02,-8.79036,-25.529
15,106.02,12,134.5,2.26996,4.45503
2,41.42,7,59.01,47.5613,42.8243
2,41.31,38,524.03,9.02724,11.9795
1,36.27,5,29.24,-12.3613,-6.5726
12,91.17,39,539.28,-31.9324,-53.1443
37,216.5,29,389.39,75.2173,41.6936
0,31.46,12,134.37,-7.27216,-13.1193
19,126.24,30,404.35,-18.4691,-50.7434
8,71.44,8,74.11,47.2295,26.1797
9,76.04,27,359.25,54.5022,19.8372
32,191.44,38,524.1,2.78116,8.55951
20,130.99,38,524.09,49.5157,54.9927
8,71.5,3,-0.53,52.2294,35.2291
8,71.09,8,74.33,-1.98509,-0.243739
22,141.44,1,-30.94,-26.4379,-59.3804
34,201.56,11,119.3,73.4745,55.3669
10,81.29,14,164.37,87.0056,40.5713
3,46.13,14,164.15,5.93634,3.70943
7,66.24,21,269.52,-28.4942,-58.4216
10,81.34,26,344.2,-26.0044,-20.3168
35,206.38,24,314.35,19.3218,17.3974
30,181.45,21,269.14,-7.22179,-9.58362
17,116.41,6,44.4,20.9232,6.79837
1,36.39,12,134.51,24.5934,15.3676
14,101.36,17,209.29,-29.5227,-33.9619
6,61.07,17,209.07,-10.4954,-5.81771
39,226.07,24,314.1,-22.0813,-24.5238
23,146.02,29,389.06,46.633,74.6282
15,105.98,25,329.44,-19.7772,-60.8676
27,166.39,38,524.01,62.8983,69.8556
0,31.29,23,299.54,-16.8573,-41.7233
33,196.31,6,44.15,-40.601,-5.70609
3,46.39,30,404.41,84.0462,37.4197
7,66.04,32,434.3,-24.0416,-24.0416
20,131.5,22,284.15,-29.9771,-41.2598
24,151.26,1,-30.84,-18.6136,-36.5312
23,146.21,23,298.98,26.423,21.3969
14,101.14,37,509.42,-43.3988,-88.9806
16,111.38,28,374.37,-61.6163,-23.6523
21,136.43,20,254.52,-67.9575,-49.3739
4,51.37,31,419.35,-79.8636,-60.1815
6,61.32,6,44.18,26.8413,39.7938
16,111.19,30,404.22,12.4651,14.3395
34,201.12,25,329.51,-24.6045,-36.4776
20,131.46,9,89.29,-27.5776,-23.1403
14,101.46,18,224.54,78.6994,6.8853
39,226.02,17,209.34,17.8542,6.49838
18,121.44,39,538.98,-39.7938,-26.8412
25,156.15,14,164.07,-47.9283,-73.803
13,96.21,11,119.39,25.0688,72.8049
39,226.2,17,209.06,0,0
19,126.48,5,29.25,7.16738,18.6716
25,156.28,11,119.22,-37.8245,-29.5517
16,111.14,21,269.39,29.5,51.0955
5,56.49,10,104.45,55.2519,76.0476
36,211.1,2,-15.58,83.0889,46.0569
33,196.51,17,209.56,80.5646,50.3423
3,46.49,20,254.24,6.13799,6.58218
22,141.02,21,269.13,85.0015,22.7761
21,136.02,24,314,4.53154,2.11309
34,201.39,36,494.05,6.96165,0.731699
2,41.1,37,509.48,-60.0159,-64.3591
21,136.24,37,509.18,-14.9762,-43.4938
34,201.26,24,314.24,30.4614,79.3543
20,131.35,29,389.01,-45.1549,-8.77721
15,106.25,28,374.2,41.6872,38.8739
34,201.08,21,269.08,15.39,17.0923
16,111.21,0,-45.5,-70.388,-43.9833
31,186.2,28,374.32,-32.7874,-36.4141
11,86.08,3,-0.71,-71.4048,-15.1775
39,226.11,18,224.44,28.5,49.3634
35,206.2,6,44.33,-31.2596,-32.3703
1,36,17,209.11,67.4119,56.5653
33,196.48,38,524.18,54.878,56.8278
26,161.47,24,314.46,15.4099,40.1439
39,226.39,38,524.14,44.6126,41.6019
32,191.54,11,119.27,11.3498,22.2752
32,191.56,33,448.98,21.5571,48.4179
36,211.35,33,449.24,58.5602,7.19029
20,131.34,34,464.42,-60.6452,-12.8905
9,76.34,39,539.16,-69.5755,-50.5495
27,166.35,30,404.28,0.615662,0.78801
1,36.02,26,344.52,25.8576,2.71774
8,71.4,21,269.3,1.98509,0.243739
37,215.99,29,389.29,-5.90189,-11.5831
9,76.05,17,209.38,-80.465,-44.6025
34,201.04,14,164.53,-71.0141,-41
35,206.17,0,-45.69,24.6657,10.9819
17,116.52,34,464.56,-9.42884,-5.66541
11,86.03,10,104.1,35.3554,35.3553
13,96.09,18,224.07,53.4923,66.0574
14,101.28,6,44.38,3.60527,6.00017
16,111.39,36,494.46,12.6082,9.85058
8,71.11,11,119.39,-94.2919,-11.5776
18,121.53,10,104.05,26.065,12.7128
38,220.99,33,449.46,-86.0993,-40.1487
27,166.08,21,269.3,11.0461,4.68877
10,80.98,22,284.43,67.2883,19.2946
2,41.15,17,209.02,-34.3844,-81.0044
17,116.47,30,404.04,-86.0674,-26.3134
28,171.38,14,164.1,-57.6823,-6.06265
23,146.26,23,299.21,-1.54509,-4.75528
4,51.22,8,74.24,-10.8178,-35.3833
30,181.02,28,374.24,34.4044,24.0902
21,136.36,22,284.28,6.57785,2.39414
3,46.44,18,224.27,28.9914,28.9914
21,136.53,1,-30.67,18.0005,10.8158
4,51.14,33,449.21,27.0891,34.6725
15,106.23,34,464.52,-2.16313,-6.65739
28,171.51,16,194.07,-53.1796,-9.37699
27,166.18,3,-0.46,-7.87158,-4.36328
9,76.5,12,134.28,38.9933,12.6697
19,126.14,11,119.3,-5.86889,-1.24747
22,141.06,34,464.45,-63.0069,-42.4986
